generation,rank_1,rank_2,swapAccepted
693000,2,3,1
694000,1,4,1
695000,3,4,0
696000,1,3,1
697000,1,2,1
698000,1,2,1
699000,1,4,0
700000,2,4,1
701000,2,3,1
702000,1,2,0
703000,2,4,1
704000,2,3,1
705000,2,3,1
706000,1,3,1
707000,1,4,0
708000,3,4,0
709000,2,4,0
710000,2,4,0
711000,2,4,0
712000,2,4,0
713000,2,4,1
714000,1,2,1
715000,3,4,1
716000,3,4,1
717000,3,4,1
718000,1,4,1
719000,3,4,1
720000,1,3,0
721000,2,4,1
722000,1,4,0
723000,2,4,1
724000,3,4,1
725000,1,2,0
726000,1,4,0
727000,3,4,1
728000,1,2,1
729000,2,4,1
730000,3,4,1
731000,2,3,1
732000,1,4,0
733000,3,4,1
734000,1,3,1
735000,2,4,1
736000,1,3,0
737000,1,2,0
738000,1,2,1
739000,3,4,1
740000,1,3,1
741000,3,4,1
742000,2,3,1
743000,1,4,0
744000,2,3,1
745000,3,4,1
746000,1,4,1
747000,1,3,1
748000,3,4,1
749000,2,3,1
750000,1,3,1
751000,2,3,1
752000,1,2,1
753000,2,3,1
754000,1,4,1
755000,2,4,1
756000,2,4,1
757000,2,3,0
758000,1,4,0
759000,1,4,1
760000,2,4,0
761000,3,4,1
762000,2,3,1
763000,3,4,1
764000,1,4,1
765000,2,3,1
766000,3,4,1
767000,1,4,1
768000,1,2,1
769000,1,3,1
770000,1,3,0
771000,2,3,1
772000,3,4,1
773000,1,3,0
774000,1,4,1
775000,1,3,1
776000,1,2,1
777000,3,4,1
778000,3,4,0
779000,2,4,0
780000,3,4,1
781000,2,4,1
782000,2,4,1
783000,1,4,1
784000,1,3,0
785000,2,4,1
786000,2,4,1
787000,2,3,1
788000,1,2,1
789000,2,3,1
790000,2,3,1
791000,1,3,1
792000,1,4,0
793000,2,3,1
794000,2,4,1
795000,1,4,0
796000,2,4,1
797000,3,4,1
798000,2,4,1
799000,2,4,1
800000,1,3,1
801000,2,4,1
802000,3,4,1
803000,1,3,1
804000,1,3,1
805000,1,2,1
806000,2,3,1
807000,1,2,1
808000,3,4,1
809000,3,4,1
810000,2,3,1
811000,1,3,1
812000,1,4,1
813000,1,4,1
814000,1,4,0
815000,2,4,1
816000,2,3,1
817000,2,3,1
818000,2,3,1
819000,1,2,0
820000,1,3,0
821000,3,4,1
822000,3,4,1
823000,1,4,1
824000,2,4,1
825000,1,4,0
826000,1,4,0
827000,2,4,0
828000,3,4,1
829000,1,4,1
830000,1,4,1
831000,1,2,1
832000,2,3,0
833000,2,3,0
834000,3,4,1
835000,1,2,1
836000,2,3,1
837000,1,3,1
838000,1,4,0
839000,1,2,1
840000,3,4,1
841000,2,3,1
842000,3,4,1
843000,2,3,1
844000,1,2,0
845000,3,4,1
846000,3,4,1
847000,1,4,1
848000,1,4,1
849000,2,4,0
850000,1,2,1
851000,2,4,1
852000,1,3,0
853000,1,3,1
854000,1,2,1
855000,3,4,1
856000,1,3,1
857000,2,4,1
858000,3,4,1
859000,1,2,1
860000,2,3,1
861000,2,4,1
862000,2,3,1
863000,1,3,1
864000,2,3,1
865000,3,4,1
866000,1,2,1
867000,2,4,1
868000,2,4,1
869000,3,4,1
870000,1,3,1
871000,2,4,1
872000,1,3,0
873000,2,3,1
874000,1,2,1
875000,1,2,1
876000,1,2,1
877000,1,2,1
878000,3,4,1
879000,2,3,1
880000,2,3,1
881000,2,4,1
882000,1,4,1
883000,1,3,1
884000,3,4,1
885000,1,2,1
886000,1,2,1
887000,1,3,1
888000,1,2,1
889000,2,3,1
890000,3,4,1
891000,2,3,1
892000,1,4,1
893000,1,3,1
894000,1,4,1
895000,2,3,0
896000,3,4,1
897000,2,4,0
898000,1,3,1
899000,1,2,1
900000,3,4,1
901000,1,4,0
902000,3,4,1
903000,1,4,1
904000,2,4,1
905000,2,4,1
906000,2,4,1
907000,2,4,1
908000,1,4,1
909000,1,3,0
910000,1,3,0
911000,1,2,1
912000,1,2,1
913000,3,4,1
914000,1,4,1
915000,3,4,1
916000,2,4,1
917000,1,4,1
918000,1,3,1
919000,1,3,0
920000,1,2,1
921000,1,2,1
922000,1,2,1
923000,2,4,1
924000,1,2,1
925000,1,4,1
926000,1,3,1
927000,2,4,1
928000,2,3,1
929000,2,4,1
930000,2,4,1
931000,3,4,1
932000,1,2,1
933000,2,4,1
934000,1,2,0
935000,2,3,1
936000,2,3,1
937000,1,2,1
938000,3,4,1
939000,1,3,1
940000,1,3,1
941000,1,4,1
942000,1,2,1
943000,2,3,1
944000,2,4,1
945000,2,4,1
946000,2,3,1
947000,3,4,1
948000,2,4,1
949000,1,3,1
950000,1,3,1
951000,1,3,1
952000,1,3,1
953000,1,4,1
954000,2,4,1
955000,2,3,1
956000,1,2,1
957000,1,3,1
958000,2,4,1
959000,2,4,1
960000,2,3,1
961000,2,3,1
962000,1,2,1
963000,2,4,1
964000,1,3,1
965000,2,3,1
966000,2,4,1
967000,1,4,1
968000,1,3,1
969000,1,3,0
970000,1,4,0
971000,1,4,0
972000,2,3,1
973000,2,4,1
974000,2,4,1
975000,2,3,1
976000,1,3,1
977000,2,4,1
978000,1,3,1
979000,1,4,1
980000,1,3,1
981000,3,4,1
982000,3,4,0
983000,3,4,1
984000,1,3,0
985000,2,4,1
986000,1,2,1
987000,3,4,1
988000,3,4,1
989000,1,4,1
990000,2,4,1
991000,3,4,1
992000,2,4,0
993000,1,2,1
994000,1,3,0
995000,1,2,1
996000,1,3,0
997000,2,4,0
