"","NodeID","Gam","Sting","Troph","Liq","Small","Medium","Large","sp1","sp2"
"763",762,0.976,0.9978,0.028,0.0824,0.779,0.1854,0.0356,"Thaumatomyrmex.atrox","Thaumatomyrmex.contumax"
"764",763,1,1,0,0,1,0,0,"Thaumatomyrmex.atrox",NA
"765",764,1,1,0,0,1,0,0,"Thaumatomyrmex.contumax",NA
"766",765,0.959,0.9972,0.041,0.0938,0.789,0.1752,0.0358,"Cryptopone.motschulskyi","Diacamma.rugosum"
"767",766,0.363,0.9974,0.046,0.0568,0.8466,0.1328,0.0206,"Cryptopone.motschulskyi","Ponera.testacea"
"768",767,0.112,0.9984,0.067,0.031,0.9142,0.0782,0.0076,"Cryptopone.motschulskyi","Cryptopone.gilva"
"769",768,0.098,0.9984,0.054,0.0282,0.9224,0.0716,0.006,"Cryptopone.motschulskyi","Cryptopone.sauteri"
"770",769,0,1,0.092,0,1,0,0,"Cryptopone.motschulskyi",NA
"771",770,0,1,0,0,1,0,0,"Cryptopone.sauteri",NA
"772",771,0,1,1,0,1,0,0,"Cryptopone.gilva",NA
"773",772,0.133,0.9982,0.102,0.0364,0.9098,0.0812,0.009,"Ponera.coarctata","Ponera.testacea"
"774",773,0.011,0.9996,0.654,0.005,0.9858,0.0142,0,"Ponera.coarctata","Ponera.exotica"
"775",774,0,1,1,0,1,0,0,"Ponera.coarctata",NA
"776",775,0,1,0.642,0,1,0,0,"Ponera.exotica",NA
"777",776,0.049,0.9986,0.083,0.015,0.9574,0.04,0.0026,"Ponera.pennsylvanica","Ponera.testacea"
"778",777,0,1,0.09,0,1,0,0,"Ponera.pennsylvanica",NA
"779",778,0,1,0.092,0,1,0,0,"Ponera.testacea",NA
"780",779,1,1,0.327,1,1,0,0,"Diacamma.rugosum",NA
"781",780,0.774,0.9952,0.156,0.0978,0.6214,0.303,0.0756,"Centromyrmex.sellaris","Hypoponera.eduardi"
"782",781,0,1,0.587,0,0,1,0,"Centromyrmex.sellaris",NA
"783",782,0,1,1,1,0,1,0,"Hypoponera.eduardi",NA
"784",783,1,1,0,0,1,0,0,"Harpegnathos.saltator",NA
"785",784,0.987,0.9968,0.024,0.0514,0.7766,0.1678,0.0556,"Platythyrea.modesta","Platythyrea.tricuspidata"
"786",785,0.988,0.9968,0.022,0.0456,0.7798,0.1686,0.0516,"Platythyrea.modesta","Platythyrea.punctata"
"787",786,0.988,0.9974,0.017,0.0406,0.7914,0.167,0.0416,"Platythyrea.modesta","Platythyrea.quadridenta"
"788",787,0.988,0.9982,0.017,0.04,0.7936,0.166,0.0404,"Platythyrea.modesta","Platythyrea.lamellosa"
