it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	acc_prob	mcmc_id
480	-4284.396500611854	-3620.1344086878416	-664.2620919240126	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	-0.0012407710827055593	0.2704431211810128	-0.03309099960626336	0.27991777066979584	0.11039747538271306	0.2606093286336673	0.8811881188118812	0
490	-4284.9448853708	-3620.148255557762	-664.7966298130381	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	-0.0004380381456298016	0.27362129245420413	-0.04213057247730733	0.275876144371046	0.11265497432223132	0.2597989023990607	0.8712871287128713	0
500	-4286.86460918801	-3621.216407913891	-665.6482012741186	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	-0.001496221036149639	0.2784857421813177	-0.039919691504316186	0.27528605535041034	0.11491001068293906	0.25852930005803104	0.8910891089108911	0
510	-4286.865490319336	-3620.7286398008273	-666.1368505185079	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	-0.002731665486017594	0.2809993124650414	-0.026513783446150505	0.2790227996613444	0.11615739341425514	0.2608241878936559	0.8910891089108911	0
520	-4286.971225871379	-3620.220231610842	-666.7509942605366	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	-0.002669713841217736	0.2841282152984679	-0.01797345459543528	0.2872596296984207	0.10963615989443795	0.2629813286992467	0.9108910891089109	0
530	-4287.447495946025	-3620.545333818544	-666.902162127481	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	-0.0013144731330952022	0.28466448422154694	-0.022643877304254677	0.28620717910206195	0.11480842008750361	0.26838217963335875	0.9108910891089109	0
540	-4286.684074031371	-3619.1386042512268	-667.545469780144	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	-0.0014762959555093304	0.2873825429819671	-0.004340070863168583	0.3027322036764901	0.11402891510524502	0.2724261687566714	0.9108910891089109	0
550	-4286.271271546708	-3618.543324160731	-667.7279473859771	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0004045183730075036	0.28797037331857467	-0.009346592191876661	0.30941021774415595	0.11605927591646642	0.27436874229967023	0.9108910891089109	0
560	-4285.785812504796	-3617.7853090395365	-668.0005034652597	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.001667597973326055	0.2894240982261399	0.0007076683584828114	0.3083389783408671	0.11785521669994739	0.2751179906308756	0.9207920792079208	0
570	-4286.077783824673	-3617.7455834819075	-668.332200342766	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0027917193069498998	0.2912859850466972	-0.00891018377017646	0.30965451842115466	0.11259148469065791	0.27404363608826476	0.9207920792079208	0
580	-4286.473272820684	-3618.0104250071454	-668.4628478135387	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0037266468017607495	0.29214514130922303	-0.0067920705931515	0.3154240316503947	0.10822202546892776	0.266408409394606	0.8910891089108911	0
590	-4287.585068136142	-3618.0187860421506	-669.5662820939914	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0030119186646267713	0.29779231797897066	-0.013135025783561986	0.30996043917492033	0.11704189511451656	0.27262083408891963	0.8910891089108911	0
600	-4287.706851175253	-3617.7779913632617	-669.9288598119915	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0036084166632581183	0.2995869702665984	-0.005602380225078365	0.30598227181263415	0.12132826503013971	0.2769048938932787	0.8712871287128713	0
