species	GamOvSt	sting	eat_sug_liq	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	colonySize	min_temp	max_temp	min_hum	max_hum
Formica.polyctena	1	0	1	2.5790443245283	0.547015060366263	0.40379186676042	3.18969113176573	1.13241205615768	1.24397110843244	-2.63685790229614	0.040547788795774	0.081072926539334	-0.0057966444742285	-0.0232444183251478	2	-0.0230769230769231	0.503333333333333	0.0866666666666667	0.145113636363636
Formica.pratensis	1	0	1	2.61209161444552	0.556327422478723	0.42032320259676	3.41613154008207	1.21816067469232	1.36557135181705	-2.9085282869459	0.0452498157878973	0.0909912090558897	-0.00662976948609543	-0.0267249429655298	2	-0.25	0.51	0.0836363636363636	0.236818181818182
Formica.rufa	1	0	1	2.61584806476669	0.557376974227533	0.422103921584133	3.4393229819448	1.22687821869727	1.37753680987327	-2.9350630908285	0.045701070281669	0.09193513422639	-0.00670696438211267	-0.0270451314537251	2	-0.0615384615384615	0.536666666666667	0.0824242424242424	0.236818181818182
Formica.sanguinea	1	0	1	2.56760353634827	0.543833505738443	0.398533266879103	3.12333781712681	1.10759125345882	1.21065333186491	-2.56335844572387	0.039313647020586	0.0785073271037883	-0.00559107899858503	-0.0223965915253037	2	-0.107692307692308	0.583333333333333	0.0836363636363636	0.236818181818182
Formica.subintegra	1	0	1	2.57055437086304	0.544654426880097	0.399892940696357	3.14053267241496	1.11402539817251	1.2193021465475	-2.58244380269285	0.0396343475050153	0.0791742467112317	-0.00564457338647437	-0.0226172855214659	2	0.0538461538461538	0.56	0.129090909090909	0.194886363636364
Formica.truncorum	1	0	1	2.6167672196486	0.557633636695137	0.42253806408458	3.44495848268597	1.22899557017253	1.38043701676909	-2.94149165022111	0.0458102757538523	0.0921634501411657	-0.0067256057644421	-0.0271224185653388	2	-0.130769230769231	0.533333333333333	0.127878787878788	0.236818181818182
Formicoxenus.provancheri	1	1	1	-1.57853795317779	1.53847655061809	0.787510078954283	-0.13530830771944	0.327089169922059	0.432253952146737	0.044538510098584	-3.77869793464247	0.286393546214619	-0.107270113541032	-0.48704077773111	0	-0.0384615384615385	0.32	0.109393939393939	0.141136363636364
Gnamptogenys.striatula	2	1	1	-0.375792598421453	-0.0210793441646229	-1.14643156910379	0.442598228921117	-1.16226692284575	-2.33745887154755	-0.522198911530957	0.541266305089427	2.07596159869324	1.80542891455487	7.84066177126677	1	0.530769230769231	0.933333333333333	0.00484848484848485	0.820909090909091
Hypoponera.eduardi	0	1	0	-0.61637925941997	-3.16212778890045	1.29789034773515	-0.092222143973426	0.327305162010466	0.0223662830008729	0.00206372248295942	0.00482330577192773	0.108233671242376	0.913136681573043	-0.50942163248527	1	0.373076923076923	0.65	0.0172727272727273	0.165454545454545
Lasius.brunneus	1	0	1	2.17280007542491	0.42704392961519	0.086363191461563	1.96431062608037	0.263502638836653	-1.80904576500125	5.50977122249777	-0.201576569231127	-0.6766012747019	-0.122862879230947	-0.298015272957068	2	-0.0115384615384615	0.596666666666667	0.138484848484848	0.154886363636364
Lasius.flavus	1	0	1	2.18480335970786	0.430156554560167	0.0878207633457447	2.01929914360524	0.271317975010103	-1.87623768637451	5.72394187144847	-0.210246799990492	-0.707051229288503	-0.12918613051503	-0.313876614723868	2	-0.25	0.573333333333333	0.0566666666666667	0.238068181818182
Lasius.fuliginosus	1	0	1	2.16019993045342	0.42379397295738	0.0848843086951873	1.91029432651704	0.255862009735768	-1.74473276949001	5.30576648319993	-0.193412364095687	-0.648085584231337	-0.117044826649668	-0.28349032984096	2	-0.0384615384615385	0.513333333333333	0.06	0.210340909090909
Lasius.neglectus	1	0	1	2.1759464521559	0.427867819830537	0.086768737461867	1.98042868580974	0.265810314273481	-1.82952269792615	5.57549869529727	-0.204281208905011	-0.68617291143174	-0.124898641300856	-0.30315398628408	2	0.392307692307692	0.526666666666667	0.156969696969697	0.119318181818182
Lasius.niger	1	0	1	2.17270833656089	0.42702033119136	0.0863526041280487	1.96392984288757	0.263448896594756	-1.80859778505393	5.50835331051807	-0.201520116700471	-0.676404579091397	-0.122823056129032	-0.297916057199866	2	-0.25	0.596666666666667	0.0442424242424242	0.232613636363636
Lasius.platythorax	1	0	1	2.17396736892716	0.427344781302597	0.0864995498212493	1.96926967373333	0.264203662578337	-1.81493045358618	5.5284264333689	-0.202322074164698	-0.679203387313013	-0.123392650451371	-0.299337109832037	2	-0.0230769230769231	0.536666666666667	0.135757575757576	0.230795454545455
Leptanilla.japonica	1	1	0	-0.34305499000955	-1.26353517113925	-0.83689594010002	0.253539426682706	-1.07294665431411	-0.204042561322473	-0.0293359367369023	0.152654494858808	1.17185131767137	1.72427785039381	-0.55292370566401	0	0.546153846153846	0.473333333333333	0.621212121212121	0.232954545454545
Leptogenys.schwabi	2	1	0	-0.679396024924623	-3.60979783853657	1.88166307438478	-0.214751018082154	0.849972098953197	0.137300149225895	0.0196148557140324	-0.106509833310114	-0.8661123703974	-2.13659461637088	0.970366683540177	0	0.65	0.646666666666667	0.192727272727273	0.133295454545455
Leptomyrmex.erythrocephalus	1	0	1	-0.304266544075263	-0.767297175309497	-5.09507963849343	-1.21508140804009	3.20205773747648	0.908769160825057	0.0853852841813487	-0.275848138510344	-1.87948608331662	0.393860860703977	0.103868082558148	1	0.330769230769231	0.86	0.146060606060606	0.203409090909091
Leptothorax.acervorum	1	1	1	-1.58265770539183	1.54374662808138	0.79358446100511	-0.136985680697696	0.3313653045044	0.43918582514846	0.0452824788455967	-3.84776101363497	0.291841078961973	-0.109563607987612	-0.497759677178253	0	-0.5	0.406666666666667	0.0490909090909091	0.236818181818182
Leptothorax.muscorum	1	1	1	-1.58265770539183	1.54374662808138	0.79358446100511	-0.136985680697694	0.331365304504401	0.43918582514846	0.0452824788455963	-3.84776101363497	0.291841078961972	-0.109563607987611	-0.497759677178253	1	-0.0384615384615385	0.416666666666667	0.149393939393939	0.236818181818182
Linepithema.humile	1	0	1	-0.300761169615659	-0.755673861258953	-4.91964113976127	-1.14714249817312	3.01296666295825	0.842506801872923	0.078890788586159	-0.252810860474782	-1.71586093703148	0.355116165526023	0.0933357692163673	2	0.292307692307692	0.913333333333333	0.00363636363636364	0.326136363636364
Liometopum.occidentale	1	0	1	-0.301695090285107	-0.758809866005793	-4.97034787377447	-1.16842952605436	3.07294059823659	0.864714457689427	0.081095504177287	-0.260876667965223	-1.77401126776412	0.369574429783437	0.097319047361362	2	0.130769230769231	0.736666666666667	0.03	0.225113636363636
Manica.rubida	1	1	1	-0.895301479395137	0.642646833938433	-0.4346539701671	0.346021401184883	-1.0144922922874	-5.3710496494972	-2.39707326047361	1.29215294937049	-2.66257572453978	-0.566728864392763	-1.77822389916119	2	-0.111538461538462	0.503333333333333	0.172121212121212	0.2325
Megaponera.analis	1	1	0	-0.70017199443202	-3.75698453665277	2.07028540813947	-0.253267369521353	1.01343749987265	0.172279110986059	0.0249159665057849	-0.139443669154666	-1.1510058175251	-2.98666174825632	1.37602682869155	1	0.684615384615385	0.896666666666667	0.0457575757575758	0.268863636363636
Melophorus.bagoti	1	0	1	2.84008292417618	0.627595162168307	0.725117851418493	-3.82331381442717	-0.741586309770533	0.132112360585121	-0.46001758562171	0.0116861239119002	0.0265275842747316	-0.00240763115540777	-0.0100572599090833	1	0.65	0.92	0.0533333333333333	0.0765909090909091
Mesoponera.caffraria	1	1	1	-0.698371318191187	-3.7443033942626	2.05455450908304	-0.2501753969672	1.00039036470888	0.169558932179259	0.0245062042190228	-0.136934699223314	-1.12945384602341	-2.92381043573432	1.34622079134812	0	0.553846153846154	0.896666666666667	0.116666666666667	0.268863636363636
Messor.barbarus	1	0	0	-1.3407351273347	1.2251807781248	0.35742954815132	0.0204905245894025	-0.093632891036947	-0.85128092487069	-0.38246342444668	-0.5959723700594	-0.0987242050236077	0.147449769804376	0.8057761992439	2	0.342307692307692	0.646666666666667	0.0439393939393939	0.144431818181818
Messor.capitatus	1	0	0	-1.32740242957014	1.20903438292008	0.34624910079874	0.0193949511115874	-0.0883040676630267	-0.789306245567497	-0.353176898943297	-0.54485681319822	-0.089811875411206	0.131926023651312	0.717568176009367	2	0.265384615384615	0.623333333333333	0.0627272727272727	0.154886363636364
Messor.structor	1	0	0	-1.33064031657806	1.21291914185498	0.34880255370994	0.0196297892761206	-0.0894351690368877	-0.80188139174096	-0.35905635052143	-0.554855901118557	-0.0915333146370857	0.134800899780186	0.733713450925577	2	-0.0192307692307692	0.623333333333333	0.0566666666666667	0.155
Monomorium.pharaonis	0	1	1	-1.40458386356992	1.31238524050591	0.503175562303273	-0.047567275588133	0.098813450646444	-0.0264658891007383	-0.043023342726897	-0.42920838436294	0.00392345321324187	0.0231798033111387	0.13265916473908	1	0.703846153846154	0.953333333333333	0.0690909090909091	0.212386363636364
Monomorium.rothsteini	0	1	0	-1.40458386356974	1.31238524050568	0.503175562303083	-0.0475672755881047	0.0988134506463713	-0.0264658891007255	-0.0430233427268663	-0.42920838436255	0.00392345321323657	0.0231798033111147	0.132659164738932	2	0.742307692307692	0.643333333333333	0.198787878787879	0.0745454545454545
Myrmecia.pyriformis	2	1	1	-0.247631589230491	-0.577834708203577	-2.0657331655185	0.0821788741753047	-0.483051495576853	-0.552930461606793	-0.0637136646152273	0.324353438203766	2.76057411664132	-1.5329363539018	-0.66539323898974	1	0.288461538461538	0.713333333333333	0.0524242424242424	0.186477272727273
Myrmecocystus.mexicanus	1	0	1	2.16459461559414	0.424934201644283	0.0854198700731883	1.93057184253443	0.258745560144482	-1.76958523421916	5.38502785564863	-0.196625514133861	-0.659377712238747	-0.119394832262515	-0.289388596062275	2	0.0576923076923077	0.74	0.023030303030303	0.137613636363636
Myrmecocystus.mimicus	1	0	1	2.17566259980074	0.427795377324147	0.0867376238630777	1.97936654355831	0.265661597913267	-1.82832726830354	5.5717471021702	-0.204134888301213	-0.68566816828851	-0.124799760109611	-0.30290985881308	2	0.307692307692308	0.773333333333333	0.0257575757575758	0.131363636363636
Myrmica.incompleta	1	1	1	-0.926076897415887	0.671958125437403	-0.48201292278694	0.410930352460243	-1.21727092176781	-6.75077994012973	-3.04542898935204	1.6846061794268	-3.51476787862307	-0.77908522155025	-2.47175607717017	0	-0.357692307692308	0.52	0.0672727272727273	0.31375
Myrmica.rubra	1	1	1	-0.924790989578507	0.67073098855612	-0.480009754909007	0.408154185685543	-1.20858418318606	-6.69126089994627	-3.01741632043857	1.6675874519418	-3.47774833104393	-0.76980958473224	-2.44141871748145	2	-0.0653846153846154	0.536666666666667	0.0866666666666667	0.236818181818182
Myrmica.ruginodis	1	1	1	-0.923745724618633	0.66973648575934	-0.478411694666663	0.40597706608412	-1.20178868828674	-6.64520019921263	-2.99579040827735	1.65452383984364	-3.44940876008857	-0.762769335241217	-2.41844484841023	1	-0.130769230769231	0.593333333333333	0.120909090909091	0.231477272727273
